438	                                                    nn.SpatialBatchNormalization	(128,)
439	                                                    nn.ReLU	
440	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
441	                                                    nn.SpatialBatchNormalization	(128,)
442	                                                    nn.ReLU	
443	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
444	                                                nn.Identity	
445	                                            nn.CAddTable	
446	                                        nn.Sequential	
447	                                            nn.ConcatTable	
448	                                                nn.Sequential	
449	                                                    nn.SpatialBatchNormalization	(256,)
450	                                                    nn.ReLU	
451	                                                    nn.SpatialConvolution	(128, 256, 1, 1)
452	                                                    nn.SpatialBatchNormalization	(128,)
453	                                                    nn.ReLU	
454	                                                    nn.SpatialConvolution	(128, 128, 3, 3)
455	                                                    nn.SpatialBatchNormalization	(128,)
456	                                                    nn.ReLU	
457	                                                    nn.SpatialConvolution	(256, 128, 1, 1)
458	                                                nn.Identity	
459	                                            nn.CAddTable	
460	                                        nn.SpatialUpSamplingNearest	
461	                                nn.CAddTable	
462	                                nn.Sequential	
463	                                    nn.ConcatTable	
464	                                        nn.Sequential	
465	                                            nn.SpatialBatchNormalization	(256,)
466	                                            nn.ReLU	
467	                                            nn.SpatialConvolution	(128, 256, 1, 1)
468	                                            nn.SpatialBatchNormalization	(128,)
469	                                            nn.ReLU	
470	                                            nn.SpatialConvolution	(128, 128, 3, 3)
471	                                            nn.SpatialBatchNormalization	(128,)
472	                                            nn.ReLU	
473	                                            nn.SpatialConvolution	(256, 128, 1, 1)
474	                                        nn.Identity	
475	                                    nn.CAddTable	
476	                        nn.Sequential	
477	                            nn.SpatialMaxPooling	
478	                            nn.Sequential	
479	                                nn.ConcatTable	
480	                                    nn.Sequential	
481	                                        nn.SpatialBatchNormalization	(256,)
482	                                        nn.ReLU	
483	                                        nn.SpatialConvolution	(128, 256, 1, 1)
484	                                        nn.SpatialBatchNormalization	(128,)
485	                                        nn.ReLU	
486	                                        nn.SpatialConvolution	(128, 128, 3, 3)
487	                                        nn.SpatialBatchNormalization	(128,)
488	                                        nn.ReLU	
489	                                        nn.SpatialConvolution	(256, 128, 1, 1)
490	                                    nn.Identity	
491	                                nn.CAddTable	
492	                            nn.Sequential	
493	                                nn.ConcatTable	
494	                                    nn.Sequential	
495	                                        nn.SpatialBatchNormalization	(256,)
496	                                        nn.ReLU	
497	                                        nn.SpatialConvolution	(128, 256, 1, 1)
498	                                        nn.SpatialBatchNormalization	(128,)
499	                                        nn.ReLU	
500	                                        nn.SpatialConvolution	(128, 128, 3, 3)
501	                                        nn.SpatialBatchNormalization	(128,)
502	                                        nn.ReLU	
503	                                        nn.SpatialConvolution	(256, 128, 1, 1)
504	                                    nn.Identity	
505	                                nn.CAddTable	
506	                            nn.Sequential	
507	                                nn.ConcatTable	
508	                                    nn.Sequential	
509	                                        nn.SpatialBatchNormalization	(256,)
510	                                        nn.ReLU	
511	                                        nn.SpatialConvolution	(128, 256, 1, 1)
512	                                        nn.SpatialBatchNormalization	(128,)
513	                                        nn.ReLU	
514	                                        nn.SpatialConvolution	(128, 128, 3, 3)
515	                                        nn.SpatialBatchNormalization	(128,)
516	                                        nn.ReLU	
517	                                        nn.SpatialConvolution	(256, 128, 1, 1)
518	                                    nn.Identity	
519	                                nn.CAddTable	
520	                            nn.Sequential	
521	                                nn.ConcatTable	
522	                                    nn.Sequential	
523	                                        nn.SpatialBatchNormalization	(256,)
524	                                        nn.ReLU	
525	                                        nn.SpatialConvolution	(128, 256, 1, 1)
526	                                        nn.SpatialBatchNormalization	(128,)
527	                                        nn.ReLU	
528	                                        nn.SpatialConvolution	(128, 128, 3, 3)
529	                                        nn.SpatialBatchNormalization	(128,)
530	                                        nn.ReLU	
531	                                        nn.SpatialConvolution	(256, 128, 1, 1)
532	                                    nn.Identity	
533	                                nn.CAddTable	
534	                            nn.Sequential	
535	                                nn.ConcatTable	
536	                                    nn.Sequential	
537	                                        nn.SpatialBatchNormalization	(256,)
538	                                        nn.ReLU	
539	                                        nn.SpatialConvolution	(128, 256, 1, 1)
540	                                        nn.SpatialBatchNormalization	(128,)
541	                                        nn.ReLU	
542	                                        nn.SpatialConvolution	(128, 128, 3, 3)
543	                                        nn.SpatialBatchNormalization	(128,)
544	                                        nn.ReLU	
545	                                        nn.SpatialConvolution	(256, 128, 1, 1)
546	                                    nn.Identity	
547	                                nn.CAddTable	
548	                            nn.Sequential	
549	                                nn.ConcatTable	
550	                                    nn.Sequential	
551	                                        nn.SpatialBatchNormalization	(256,)
552	                                        nn.ReLU	
553	                                        nn.SpatialConvolution	(128, 256, 1, 1)
554	                                        nn.SpatialBatchNormalization	(128,)
555	                                        nn.ReLU	
556	                                        nn.SpatialConvolution	(128, 128, 3, 3)
557	                                        nn.SpatialBatchNormalization	(128,)
558	                                        nn.ReLU	
559	                                        nn.SpatialConvolution	(256, 128, 1, 1)
560	                                    nn.Identity	
561	                                nn.CAddTable	
562	                            nn.SpatialUpSamplingNearest	
563	                    nn.CAddTable	
564	                    nn.Sequential	
565	                        nn.ConcatTable	
566	                            nn.Sequential	
567	                                nn.SpatialBatchNormalization	(256,)
568	                                nn.ReLU	
569	                                nn.SpatialConvolution	(128, 256, 1, 1)
570	                                nn.SpatialBatchNormalization	(128,)
571	                                nn.ReLU	
572	                                nn.SpatialConvolution	(128, 128, 3, 3)
573	                                nn.SpatialBatchNormalization	(128,)
574	                                nn.ReLU	
575	                                nn.SpatialConvolution	(256, 128, 1, 1)
576	                            nn.Identity	
577	                        nn.CAddTable	
578	            nn.Sequential	
579	                nn.SpatialMaxPooling	
580	                nn.Sequential	
581	                    nn.ConcatTable	
582	                        nn.Sequential	
583	                            nn.SpatialBatchNormalization	(256,)
584	                            nn.ReLU	
585	                            nn.SpatialConvolution	(128, 256, 1, 1)
586	                            nn.SpatialBatchNormalization	(128,)
587	                            nn.ReLU	
588	                            nn.SpatialConvolution	(128, 128, 3, 3)
589	                            nn.SpatialBatchNormalization	(128,)
590	                            nn.ReLU	
591	                            nn.SpatialConvolution	(256, 128, 1, 1)
592	                        nn.Identity	
593	                    nn.CAddTable	
594	                nn.Sequential	
595	                    nn.ConcatTable	
596	                        nn.Sequential	
597	                            nn.SpatialBatchNormalization	(256,)
598	                            nn.ReLU	
599	                            nn.SpatialConvolution	(128, 256, 1, 1)
600	                            nn.SpatialBatchNormalization	(128,)
601	                            nn.ReLU	
602	                            nn.SpatialConvolution	(128, 128, 3, 3)
603	                            nn.SpatialBatchNormalization	(128,)
604	                            nn.ReLU	
605	                            nn.SpatialConvolution	(256, 128, 1, 1)
606	                        nn.Identity	
607	                    nn.CAddTable	
608	                nn.Sequential	
609	                    nn.ConcatTable	
610	                        nn.Sequential	
611	                            nn.SpatialBatchNormalization	(256,)
612	                            nn.ReLU	
613	                            nn.SpatialConvolution	(128, 256, 1, 1)
614	                            nn.SpatialBatchNormalization	(128,)
615	                            nn.ReLU	
616	                            nn.SpatialConvolution	(128, 128, 3, 3)
617	                            nn.SpatialBatchNormalization	(128,)
618	                            nn.ReLU	
619	                            nn.SpatialConvolution	(256, 128, 1, 1)
620	                        nn.Identity	
621	                    nn.CAddTable	
622	                nn.Sequential	
623	                    nn.ConcatTable	
624	                        nn.Sequential	
625	                            nn.SpatialBatchNormalization	(256,)
626	                            nn.ReLU	
627	                            nn.SpatialConvolution	(128, 256, 1, 1)
628	                            nn.SpatialBatchNormalization	(128,)
629	                            nn.ReLU	
630	                            nn.SpatialConvolution	(128, 128, 3, 3)
631	                            nn.SpatialBatchNormalization	(128,)
632	                            nn.ReLU	
633	                            nn.SpatialConvolution	(256, 128, 1, 1)
634	                        nn.Identity	
635	                    nn.CAddTable	
636	                nn.Sequential	
637	                    nn.ConcatTable	
638	                        nn.Sequential	
639	                            nn.SpatialBatchNormalization	(256,)
640	                            nn.ReLU	
641	                            nn.SpatialConvolution	(128, 256, 1, 1)
642	                            nn.SpatialBatchNormalization	(128,)
643	                            nn.ReLU	
644	                            nn.SpatialConvolution	(128, 128, 3, 3)
645	                            nn.SpatialBatchNormalization	(128,)
646	                            nn.ReLU	
647	                            nn.SpatialConvolution	(256, 128, 1, 1)
648	                        nn.Identity	
649	                    nn.CAddTable	
650	                nn.Sequential	
651	                    nn.ConcatTable	
652	                        nn.Sequential	
653	                            nn.SpatialBatchNormalization	(256,)
654	                            nn.ReLU	
655	                            nn.SpatialConvolution	(128, 256, 1, 1)
656	                            nn.SpatialBatchNormalization	(128,)
657	                            nn.ReLU	
658	                            nn.SpatialConvolution	(128, 128, 3, 3)
659	                            nn.SpatialBatchNormalization	(128,)
660	                            nn.ReLU	
661	                            nn.SpatialConvolution	(256, 128, 1, 1)
662	                        nn.Identity	
663	                    nn.CAddTable	
664	                nn.SpatialUpSamplingNearest	
665	        nn.CAddTable	
666	        nn.Sequential	
667	            nn.ConcatTable	
668	                nn.Sequential	
669	                    nn.SpatialBatchNormalization	(256,)
670	                    nn.ReLU	
671	                    nn.SpatialConvolution	(128, 256, 1, 1)
672	                    nn.SpatialBatchNormalization	(128,)
673	                    nn.ReLU	
674	                    nn.SpatialConvolution	(128, 128, 3, 3)
675	                    nn.SpatialBatchNormalization	(128,)
676	                    nn.ReLU	
677	                    nn.SpatialConvolution	(256, 128, 1, 1)
678	                nn.Identity	
679	            nn.CAddTable	
680	        nn.Sequential	
681	            nn.SpatialConvolution	(256, 256, 1, 1)
682	            nn.SpatialBatchNormalization	(256,)
683	            nn.ReLU	
684	        nn.Sequential	
685	            nn.SpatialConvolution	(256, 256, 1, 1)
686	            nn.SpatialBatchNormalization	(256,)
687	            nn.ReLU	
688	nn.CAddTable	
689	nn.ConcatTable	
690	    nn.Identity	
691	    nn.Sequential	
692	        nn.ConcatTable	
693	            nn.Sequential	
694	                nn.Sequential	
695	                    nn.ConcatTable	
696	                        nn.Sequential	
697	                            nn.SpatialBatchNormalization	(256,)
698	                            nn.ReLU	
699	                            nn.SpatialConvolution	(128, 256, 1, 1)
700	                            nn.SpatialBatchNormalization	(128,)
701	                            nn.ReLU	
702	                            nn.SpatialConvolution	(128, 128, 3, 3)
703	                            nn.SpatialBatchNormalization	(128,)
704	                            nn.ReLU	
705	                            nn.SpatialConvolution	(256, 128, 1, 1)
706	                        nn.Identity	
707	                    nn.CAddTable	
708	                nn.Sequential	
709	                    nn.ConcatTable	
710	                        nn.Sequential	
711	                            nn.SpatialBatchNormalization	(256,)
712	                            nn.ReLU	
